Category: All categories

Month,buy puppy: (Australia),pregnancy symptoms: (Australia),baby products: (Australia),buy kitten: (Australia),pet store: (Australia)
2004-01,0,66,41,0,0
2004-02,0,48,0,0,22
2004-03,0,32,28,0,0
2004-04,0,27,27,0,27
2004-05,0,48,25,0,0
2004-06,0,39,17,0,17
2004-07,0,42,36,0,12
2004-08,0,52,33,0,12
2004-09,0,41,28,0,11
2004-10,0,48,25,0,18
2004-11,0,49,22,0,12
2004-12,0,46,22,0,14
2005-01,0,62,33,0,14
2005-02,0,51,39,0,17
2005-03,0,43,29,0,13
2005-04,0,60,21,0,12
2005-05,0,51,27,0,14
2005-06,0,47,18,0,12
2005-07,0,51,30,0,13
2005-08,0,56,20,0,14
2005-09,0,47,24,0,15
2005-10,0,60,25,0,9
2005-11,0,49,23,0,15
2005-12,0,55,21,0,22
2006-01,0,64,27,0,14
2006-02,0,52,29,0,15
2006-03,0,46,26,0,14
2006-04,0,45,31,0,17
2006-05,0,56,24,0,16
2006-06,0,44,26,0,12
2006-07,0,47,22,0,13
2006-08,0,46,26,0,14
2006-09,0,51,22,0,14
2006-10,0,53,25,0,15
2006-11,0,52,28,0,16
2006-12,0,57,22,0,17
2007-01,0,55,25,0,23
2007-02,0,51,23,0,19
2007-03,3,57,24,0,15
2007-04,0,52,27,0,15
2007-05,0,52,27,0,15
2007-06,0,45,25,0,17
2007-07,0,51,23,0,19
2007-08,3,50,26,0,14
2007-09,0,51,24,0,16
2007-10,0,49,22,0,16
2007-11,0,49,24,0,20
2007-12,0,50,21,0,20
2008-01,0,63,29,0,23
2008-02,3,55,28,0,18
2008-03,3,53,22,0,16
2008-04,3,47,26,0,19
2008-05,0,47,28,0,19
2008-06,3,45,20,0,16
2008-07,3,42,24,0,21
2008-08,3,40,24,0,18
2008-09,3,48,19,0,16
2008-10,3,54,20,2,22
2008-11,4,51,19,0,21
2008-12,3,50,16,0,23
2009-01,4,53,23,0,24
2009-02,2,50,17,0,20
2009-03,3,57,19,0,20
2009-04,4,66,22,2,24
2009-05,4,71,20,0,22
2009-06,3,69,20,0,19
2009-07,3,77,21,0,22
2009-08,3,67,21,2,18
2009-09,3,68,22,0,19
2009-10,4,77,18,0,21
2009-11,0,77,21,0,25
2009-12,3,77,17,0,27
2010-01,3,87,29,0,27
2010-02,5,84,22,0,20
2010-03,3,88,22,0,24
2010-04,3,74,23,0,24
2010-05,4,84,22,0,26
2010-06,2,77,19,0,22
2010-07,3,85,22,2,25
2010-08,4,79,20,2,23
2010-09,3,75,20,2,26
2010-10,2,82,17,0,27
2010-11,3,80,15,2,26
2010-12,2,72,14,2,29
2011-01,4,90,18,0,31
2011-02,3,91,17,0,29
2011-03,3,82,16,1,26
2011-04,3,74,15,1,31
2011-05,3,86,15,2,30
2011-06,3,88,15,1,27
2011-07,4,92,15,2,33
2011-08,4,83,13,1,30
2011-09,4,100,13,0,32
2011-10,3,94,14,1,32
2011-11,3,92,13,1,29
2011-12,5,100,13,1,36
2012-01,4,97,17,1,33
2012-02,4,93,14,1,30
2012-03,4,95,13,1,28
2012-04,4,92,13,2,32
2012-05,4,94,14,1,29
2012-06,4,89,15,2,30
2012-07,4,95,14,1,32
2012-08,4,84,15,1,30
2012-09,5,87,13,1,31
2012-10,4,88,13,1,31
2012-11,4,89,11,1,31
2012-12,4,90,9,2,39
2013-01,5,98,14,2,36
2013-02,4,87,12,1,32
2013-03,5,85,13,2,33
2013-04,4,88,14,2,34
2013-05,3,87,14,2,35
2013-06,4,79,14,2,33
2013-07,4,83,13,1,35
2013-08,4,81,13,1,35
2013-09,4,84,11,1,34
2013-10,6,82,12,2,34
2013-11,5,79,12,2,35
2013-12,5,77,11,2,41
2014-01,5,86,12,1,38
2014-02,4,83,12,1,34
2014-03,5,77,12,2,34
2014-04,5,77,12,1,41
2014-05,5,83,12,2,35
2014-06,6,79,14,2,36
2014-07,5,80,12,1,40
2014-08,6,76,10,2,35
2014-09,5,73,10,2,36
2014-10,5,80,12,2,38
2014-11,6,79,11,2,37
2014-12,6,69,9,2,43
2015-01,7,75,12,2,41
2015-02,6,74,9,2,36
2015-03,5,76,11,2,36
2015-04,5,71,11,2,38
2015-05,6,71,11,2,36
2015-06,5,72,11,1,37
2015-07,6,70,11,1,40
2015-08,6,75,10,1,36
2015-09,5,72,11,2,35
2015-10,6,66,9,1,36
2015-11,7,65,10,2,39
2015-12,8,66,10,2,50
2016-01,6,75,11,2,46
2016-02,7,72,11,1,37
2016-03,5,61,11,1,36
2016-04,6,64,11,2,40
2016-05,6,65,11,2,36
2016-06,6,67,11,1,34
2016-07,8,67,10,1,37
2016-08,7,58,10,2,32
2016-09,6,65,10,2,36
2016-10,7,61,11,2,37
2016-11,7,63,11,1,33
2016-12,7,67,8,2,46
2017-01,7,73,10,2,43
2017-02,6,70,11,2,37
2017-03,5,62,10,2,36
2017-04,6,64,10,2,42
2017-05,6,62,9,1,35
2017-06,5,67,11,2,39
2017-07,7,66,10,2,43
2017-08,6,65,9,1,38
2017-09,7,61,10,2,40
2017-10,7,66,10,2,39
2017-11,6,61,9,1,40
2017-12,7,62,8,2,50
2018-01,8,63,10,1,48
2018-02,7,60,10,2,39
2018-03,5,63,10,1,36
2018-04,5,60,9,2,40
2018-05,6,56,9,1,36
2018-06,6,50,9,2,37
2018-07,6,60,11,2,39
2018-08,6,55,9,1,36
2018-09,7,55,9,2,39
2018-10,5,52,8,2,38
2018-11,6,55,10,1,38
2018-12,7,52,8,2,52
2019-01,7,55,9,1,47
2019-02,5,52,10,1,39
2019-03,5,55,8,1,41
2019-04,6,51,9,1,44
2019-05,5,48,8,1,38
2019-06,7,50,8,1,40
2019-07,7,53,9,1,40
2019-08,7,49,9,1,39
2019-09,7,51,9,2,40
2019-10,6,53,8,2,39
2019-11,6,52,8,2,42
2019-12,6,50,8,2,52
2020-01,8,57,9,1,47
2020-02,7,55,9,1,42
2020-03,8,50,8,2,43
2020-04,16,49,10,4,53
2020-05,15,53,9,3,51
2020-06,13,57,9,3,49
2020-07,14,52,9,4,49
2020-08,13,49,9,4,47
2020-09,12,58,9,2,45
2020-10,9,61,9,3,48
2020-11,10,59,8,2,47
2020-12,9,58,7,2,58
2021-01,10,63,9,2,51
2021-02,8,63,8,1,47
2021-03,8,62,8,2,43
2021-04,8,59,9,2,43
2021-05,8,59,8,2,45
2021-06,8,57,8,2,46
2021-07,11,58,8,2,44
2021-08,12,60,10,3,44
2021-09,12,59,9,3,48
2021-10,9,54,8,3,48
2021-11,6,53,8,3,46
2021-12,7,51,6,2,58
2022-01,9,58,8,3,56
2022-02,7,51,9,1,50
2022-03,6,52,8,2,49
2022-04,7,50,7,2,54
2022-05,6,52,8,2,47
2022-06,5,50,7,2,45
2022-07,6,51,7,1,47
2022-08,6,53,8,1,44
2022-09,5,54,8,2,43
2022-10,5,54,7,2,43
2022-11,5,53,7,1,42
2022-12,5,50,7,2,51
2023-01,5,57,7,2,46
2023-02,5,54,7,2,40
2023-03,4,53,7,1,41
2023-04,4,53,7,2,46
2023-05,5,49,8,1,37
2023-06,5,51,8,2,39
2023-07,5,50,7,1,40
2023-08,5,47,7,1,37
2023-09,4,48,7,1,38
2023-10,4,50,6,1,35
2023-11,5,44,7,2,36
2023-12,4,46,5,1,44
2024-01,5,55,7,1,36
2024-02,4,49,5,1,31
2024-03,4,47,6,2,33
2024-04,3,48,6,2,34
2024-05,3,48,5,1,29
2024-06,3,50,6,2,31
2024-07,4,49,6,1,29
2024-08,4,46,6,1,31
2024-09,4,46,6,2,32
2024-10,4,47,6,1,29
2024-11,3,46,6,2,30
2024-12,4,44,5,1,41
2025-01,4,50,6,2,34
2025-02,4,43,5,1,30
2025-03,3,46,6,1,28
2025-04,4,40,6,1,30
2025-05,3,42,6,1,27
